,trial_id,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,params,params
,,,,,,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_weight,min_data_in_leaf,min_split_gain,num_leaves,reg_alpha,reg_lambda,subsample
0,0,TrialState.COMPLETE,-0.7633596027205009,2020-02-08 09:41:39.946960,2020-02-08 09:42:21.302386,0.9725584934631921,8,0.9104236852257412,0.08130918703579237,11,2,11,1,28,2.354741171111124,7.943330066914159,0.993096184336284
1,1,TrialState.COMPLETE,-0.7621414294203446,2020-02-08 09:42:21.306422,2020-02-08 09:43:15.939555,0.9957213040505185,6,0.9469358723883553,0.07523451874297389,14,18,20,4,35,1.972099553983231,7.689022586507156,0.9873988398831297
2,2,TrialState.COMPLETE,-0.7622804647392597,2020-02-08 09:43:15.944274,2020-02-08 09:44:00.774632,0.9781287156495475,8,0.9847464294880611,0.0521851200603132,15,9,26,7,32,0.11939536805880224,2.0820063487061002,0.9489243836654071
3,3,TrialState.COMPLETE,-0.7607991360691145,2020-02-08 09:44:00.778837,2020-02-08 09:44:40.036641,0.9119583268489674,5,0.9049377963445815,0.09725537582216892,19,3,25,5,30,8.907374944659868,0.2154518655229587,0.9322664933100053
4,4,TrialState.COMPLETE,-0.7628622117090479,2020-02-08 09:44:40.040926,2020-02-08 09:45:18.303751,0.9364845261707768,8,0.9124674586337193,0.08729272887906138,16,2,16,4,31,2.827460801368833,6.181903382548795,0.9969211714516649
5,5,TrialState.COMPLETE,-0.7620020429009193,2020-02-08 09:45:18.308315,2020-02-08 09:45:55.145674,0.9099370015306307,1,0.989276444976209,0.09406320167295437,10,18,11,6,30,7.14788707747065,5.162167540649331,0.9658944047182134
6,6,TrialState.COMPLETE,-0.7632699250956513,2020-02-08 09:45:55.150640,2020-02-08 09:46:48.701201,0.9919715565819407,10,0.9211973872598384,0.06040361035304426,12,3,21,1,30,1.2396036191962057,9.62431049796361,0.9704143795809027
7,7,TrialState.COMPLETE,-0.7629665535627727,2020-02-08 09:46:48.709876,2020-02-08 09:47:27.647714,0.969799250326482,10,0.9728002538557765,0.07694422793153546,19,11,17,3,28,7.451927891924742,9.119714523303866,0.9867649113577656
8,8,TrialState.COMPLETE,-0.7626295336787564,2020-02-08 09:47:27.652315,2020-02-08 09:48:25.168540,0.9878452806316875,7,0.9083075224557313,0.030321738572716035,15,17,29,5,35,4.4225961282211825,3.0293406844181483,0.9320996191542967
9,9,TrialState.COMPLETE,-0.7629366106080206,2020-02-08 09:48:25.174286,2020-02-08 09:49:13.836395,0.945072932866232,3,0.9810819993542319,0.060439678856744915,10,15,21,4,25,2.360197973704511,4.178733640181818,0.973471400341948
10,10,TrialState.COMPLETE,-0.7631024990554325,2020-02-08 09:49:13.841035,2020-02-08 09:52:20.100064,0.9644049369701111,3,0.9361614691135419,0.014861759380888608,12,6,10,0,21,4.709971922783414,7.284117276815159,0.9056047732875611
11,11,TrialState.COMPLETE,-0.7629901696013828,2020-02-08 09:52:20.105136,2020-02-08 09:53:10.758397,0.9294849020543878,3,0.9273982333405123,0.03900475790444471,10,7,10,10,40,0.11463326795824536,1.5466495806845488,0.9210066979653174
12,12,TrialState.COMPLETE,-0.7630656383150854,2020-02-08 09:53:10.763542,2020-02-08 09:53:53.231157,0.9560296868277375,0,0.9657582769500965,0.04006296177459705,12,13,14,1,25,3.737176917629372,8.083530246712593,0.9529034626684291
13,13,TrialState.COMPLETE,-0.7651409583020687,2020-02-08 09:53:53.236617,2020-02-08 09:54:29.653519,0.9227591042454988,9,0.9535984461921252,0.07755148872608791,17,1,13,2,24,6.742189622082368,9.800193440118033,0.9987429090566036
14,14,TrialState.COMPLETE,-0.7635207929325577,2020-02-08 09:54:29.658708,2020-02-08 09:55:18.727340,0.9019036322619021,10,0.9995586462029107,0.028572534539774,17,6,14,8,24,6.702453134560156,9.555469878825846,0.9541801345203761
15,15,TrialState.COMPLETE,-0.7638066530304661,2020-02-08 09:55:18.732929,2020-02-08 09:56:02.523275,0.922691036750464,5,0.9534788697368412,0.06879764229582816,20,5,14,2,20,9.930726585007573,5.66322216039724,0.9994761522013962
16,16,TrialState.COMPLETE,-0.762854371025116,2020-02-08 09:56:02.529649,2020-02-08 09:56:51.748085,0.917757891629984,1,0.9575122864798062,0.05076533545080804,18,1,18,8,20,6.060595574911709,4.105123110965183,0.9806673635407486
17,17,TrialState.COMPLETE,-0.7624082865774707,2020-02-08 09:56:51.753391,2020-02-08 09:57:35.250744,0.9258178319476328,9,0.9453919113612212,0.07009343000068559,18,5,14,2,21,9.711650559715299,6.1212090140822735,0.9996900383855183
18,18,TrialState.COMPLETE,-0.7631763122476447,2020-02-08 09:57:35.258192,2020-02-08 09:58:19.274427,0.9425035632529806,6,0.9577765075954703,0.06797420772981067,20,9,13,2,23,8.766509506025155,8.843936730992064,0.9989845496455226
19,19,TrialState.COMPLETE,-0.7621157274839268,2020-02-08 09:58:19.280822,2020-02-08 09:59:48.704002,0.92274199230567,4,0.9397734100405462,0.08729513193476346,20,4,18,0,27,8.504591467522692,6.619701726412181,0.9831200282437983
